timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074693,2025-11-13 16:58:13-06:00,card0,0,0,0,N/A,0
1763074694,2025-11-13 16:58:14-06:00,card0,0,0,0,N/A,0
1763074695,2025-11-13 16:58:15-06:00,card0,0,0,0,N/A,0
1763074696,2025-11-13 16:58:16-06:00,card0,0,0,0,N/A,0
1763074698,2025-11-13 16:58:18-06:00,card0,0,0,0,N/A,0
1763074699,2025-11-13 16:58:19-06:00,card0,0,0,0,N/A,0
1763074700,2025-11-13 16:58:20-06:00,card0,0,0,0,N/A,0
1763074701,2025-11-13 16:58:21-06:00,card0,0,0,0,N/A,0
1763074702,2025-11-13 16:58:22-06:00,card0,0,0,0,N/A,0
1763074703,2025-11-13 16:58:23-06:00,card0,0,0,0,N/A,0
1763074704,2025-11-13 16:58:24-06:00,card0,0,0,0,N/A,0
1763074705,2025-11-13 16:58:25-06:00,card0,0,0,0,N/A,0
1763074706,2025-11-13 16:58:26-06:00,card0,0,0,0,N/A,0
1763074708,2025-11-13 16:58:28-06:00,card0,0,0,0,N/A,0
1763074709,2025-11-13 16:58:29-06:00,card0,0,0,0,N/A,0
1763074710,2025-11-13 16:58:30-06:00,card0,0,0,0,N/A,0
1763074711,2025-11-13 16:58:31-06:00,card0,0,0,0,N/A,0
1763074712,2025-11-13 16:58:32-06:00,card0,0,0,0,N/A,0
1763074713,2025-11-13 16:58:33-06:00,card0,0,0,0,N/A,0
1763074714,2025-11-13 16:58:34-06:00,card0,0,0,0,N/A,0
1763074715,2025-11-13 16:58:35-06:00,card0,0,0,0,N/A,0
1763074716,2025-11-13 16:58:36-06:00,card0,0,0,0,N/A,0
1763074717,2025-11-13 16:58:37-06:00,card0,0,0,0,N/A,0
1763074719,2025-11-13 16:58:39-06:00,card0,0,0,0,N/A,0
1763074720,2025-11-13 16:58:40-06:00,card0,0,0,0,N/A,0
1763074721,2025-11-13 16:58:41-06:00,card0,0,0,0,N/A,0
1763074722,2025-11-13 16:58:42-06:00,card0,0,0,0,N/A,0
1763074723,2025-11-13 16:58:43-06:00,card0,0,0,0,N/A,0
1763074724,2025-11-13 16:58:44-06:00,card0,0,0,0,N/A,0
1763074725,2025-11-13 16:58:45-06:00,card0,0,0,0,N/A,0
1763074726,2025-11-13 16:58:46-06:00,card0,0,0,0,N/A,0
1763074727,2025-11-13 16:58:47-06:00,card0,0,0,0,N/A,0
1763074728,2025-11-13 16:58:48-06:00,card0,0,0,0,N/A,0
1763074730,2025-11-13 16:58:50-06:00,card0,0,0,0,N/A,0
1763074731,2025-11-13 16:58:51-06:00,card0,0,0,0,N/A,0
1763074732,2025-11-13 16:58:52-06:00,card0,0,0,0,N/A,0
1763074733,2025-11-13 16:58:53-06:00,card0,0,0,0,N/A,0
1763074734,2025-11-13 16:58:54-06:00,card0,0,0,0,N/A,0
1763074735,2025-11-13 16:58:55-06:00,card0,0,0,0,N/A,0
1763074736,2025-11-13 16:58:56-06:00,card0,0,0,0,N/A,0
1763074737,2025-11-13 16:58:57-06:00,card0,0,0,0,N/A,0
1763074738,2025-11-13 16:58:58-06:00,card0,0,0,0,N/A,0
1763074740,2025-11-13 16:59:00-06:00,card0,0,0,0,N/A,0
1763074741,2025-11-13 16:59:01-06:00,card0,0,0,0,N/A,0
1763074742,2025-11-13 16:59:02-06:00,card0,0,0,0,N/A,0
1763074743,2025-11-13 16:59:03-06:00,card0,1,0,0,N/A,0
1763074744,2025-11-13 16:59:04-06:00,card0,0,0,0,N/A,0
1763074745,2025-11-13 16:59:05-06:00,card0,0,0,0,N/A,0
1763074746,2025-11-13 16:59:06-06:00,card0,0,0,0,N/A,0
1763074747,2025-11-13 16:59:07-06:00,card0,0,0,0,N/A,0
1763074748,2025-11-13 16:59:08-06:00,card0,0,0,0,N/A,0
1763074749,2025-11-13 16:59:09-06:00,card0,0,0,0,N/A,0
1763074751,2025-11-13 16:59:11-06:00,card0,0,0,0,N/A,0
1763074752,2025-11-13 16:59:12-06:00,card0,0,0,0,N/A,0
1763074753,2025-11-13 16:59:13-06:00,card0,0,0,0,N/A,0
1763074754,2025-11-13 16:59:14-06:00,card0,1,0,0,N/A,0
1763074755,2025-11-13 16:59:15-06:00,card0,0,0,0,N/A,0
1763074756,2025-11-13 16:59:16-06:00,card0,0,0,0,N/A,0
1763074757,2025-11-13 16:59:17-06:00,card0,0,0,0,N/A,0
1763074758,2025-11-13 16:59:18-06:00,card0,0,0,0,N/A,0
1763074759,2025-11-13 16:59:19-06:00,card0,0,0,0,N/A,0
1763074760,2025-11-13 16:59:20-06:00,card0,0,0,0,N/A,0
1763074762,2025-11-13 16:59:22-06:00,card0,0,0,0,N/A,0
1763074763,2025-11-13 16:59:23-06:00,card0,0,0,0,N/A,0
1763074764,2025-11-13 16:59:24-06:00,card0,0,0,0,N/A,0
1763074765,2025-11-13 16:59:25-06:00,card0,0,0,0,N/A,0
1763074766,2025-11-13 16:59:26-06:00,card0,0,0,0,N/A,0
1763074767,2025-11-13 16:59:27-06:00,card0,0,0,0,N/A,0
1763074768,2025-11-13 16:59:28-06:00,card0,0,0,0,N/A,0
1763074769,2025-11-13 16:59:29-06:00,card0,0,0,0,N/A,0
1763074770,2025-11-13 16:59:30-06:00,card0,0,0,0,N/A,0
1763074772,2025-11-13 16:59:32-06:00,card0,0,0,0,N/A,0
1763074773,2025-11-13 16:59:33-06:00,card0,0,0,0,N/A,0
1763074774,2025-11-13 16:59:34-06:00,card0,0,0,0,N/A,0
1763074775,2025-11-13 16:59:35-06:00,card0,0,0,0,N/A,0
1763074776,2025-11-13 16:59:36-06:00,card0,0,0,0,N/A,0
1763074777,2025-11-13 16:59:37-06:00,card0,0,0,0,N/A,0
1763074778,2025-11-13 16:59:38-06:00,card0,0,0,0,N/A,0
1763074779,2025-11-13 16:59:39-06:00,card0,0,0,0,N/A,0
1763074780,2025-11-13 16:59:40-06:00,card0,0,0,0,N/A,0
1763074781,2025-11-13 16:59:41-06:00,card0,0,0,0,N/A,0
1763074783,2025-11-13 16:59:43-06:00,card0,0,0,0,N/A,0
1763074784,2025-11-13 16:59:44-06:00,card0,0,0,0,N/A,0
1763074785,2025-11-13 16:59:45-06:00,card0,0,0,0,N/A,0
1763074786,2025-11-13 16:59:46-06:00,card0,0,0,0,N/A,0
1763074787,2025-11-13 16:59:47-06:00,card0,0,0,0,N/A,0
1763074788,2025-11-13 16:59:48-06:00,card0,0,0,0,N/A,0
1763074789,2025-11-13 16:59:49-06:00,card0,0,0,0,N/A,0
1763074790,2025-11-13 16:59:50-06:00,card0,0,0,0,N/A,0
1763074791,2025-11-13 16:59:51-06:00,card0,0,0,0,N/A,0
1763074793,2025-11-13 16:59:53-06:00,card0,0,0,0,N/A,0
1763074794,2025-11-13 16:59:54-06:00,card0,0,0,0,N/A,0
1763074795,2025-11-13 16:59:55-06:00,card0,0,0,0,N/A,0
1763074796,2025-11-13 16:59:56-06:00,card0,0,0,0,N/A,0
1763074797,2025-11-13 16:59:57-06:00,card0,0,0,0,N/A,0
1763074798,2025-11-13 16:59:58-06:00,card0,0,0,0,N/A,0
1763074799,2025-11-13 16:59:59-06:00,card0,0,0,0,N/A,0
1763074800,2025-11-13 17:00:00-06:00,card0,0,0,0,N/A,0
1763074801,2025-11-13 17:00:01-06:00,card0,0,0,0,N/A,0
1763074802,2025-11-13 17:00:02-06:00,card0,0,0,0,N/A,0
